Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Website,Contact Email,Full Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,New
"VitaNet, Inc.",https://www.crunchbase.com/organization/vitanet-inc,"Cyber Security, Industrial, Internet of Things, PaaS, Software, Wireless","San Mateo, California, United States",VitaNet software makes Bluetooth LE (BLE) devices manageable by servers in IP network/cloud easily and securely.,"361,614",1/15/16,day,https://www.vita.net,info@vita.net,"VitaNet’s mission is to make IoT device use more common among young and old people around the globe. This is best achieved by making IoT device safe and easy. Our software pairs state-of-the-art technology with a wide range of knowledge, merging security and usability. IoT device manufacturers who use VitaNet will see these improvements reflected in their products.",,,,,New
VPNSTORE,https://www.crunchbase.com/organization/vpnstore,"Cloud Security, Cyber Security, E-Commerce, Health Care, Information Technology, Internet, Network Security, Security, Software",,Learn everything about VPN (Virtual Private Network).,"361,801",1/1/19,year,https://vpnstore.com,digitalmarketing@vpnstore.com,"VPNSTORE seeks to become the industry authority on all things VPN, offering reviews and discounts for the world’s leading VPN services. Discover some of the best VPN service providers, whopping discounts, reviews, industry-related updates under one roof, & experience absolute internet freedom.",,,,,New
Know Network Risk,https://www.crunchbase.com/organization/know-network-risk,"Cyber Security, Information Technology, Risk Management","Asheville, North Carolina, United States",KNR is a cyber security consulting firm that provides cyber security risk management and compliance services.,"361,861",1/1/17,year,https://www.knownetworkrisk.com/,info@knownetworkrisk.com,"KNR is an Asheville, NC based cyber security consulting firm. Their specialties include red team penetration testing, hardware and application security assessments, threat hunting and incident response, vulnerability and risk assessments, and compliance audits.  All of their consultants have over 14 years experience and have, at one point in time, worked for a major consultancy firm in a senior role. Penetration testing may be their main area of expertise, but they  want their services to help you better understand where you can improve your security and compliance posture.  This means that everything they do is about helping you understand the how and why. KNR is strongly devoted to investing in their team and sends personnel to extensive SANS training sessions regularly to stay abreast of current cyber security trends.",,,,,New
PlayHit,https://www.crunchbase.com/organization/playhit,"Cyber Security, Information Technology, Internet of Things, iOS, Messaging, Music, Social Media","London, England, United Kingdom",PlayHit keyboard changes the way we use music to interact with our loved ones across all our favourite messaging channels.,"362,715",8/30/17,day,http://www.playhitkeyboard.com,info@playhitkeyboard.com,"PlayHit helps instant messaging app users communicate in a more immersive way through short audio clips. Working in the same way as image based alternatives like GIPHY, it takes it to the next level by matching the words you type to your own creations and popular sound lyrics in the PlayHit audio library. The keyboard is not just limited to instant messaging platforms, but you can also use it on your favourite dating apps like Tinder and Bumble. Want Adele to sing ""Hello"" to a friend? PlayHit's predictive text technology suggests real-time recommendations. The app lets you instantly preview and share a variety of audio clips that match the words typed in your message, or create your own in seconds. PlayHit launched on the Apple and Google Play store in December 2017. 10,000 Android users downloaded the app within the first week and on average, 1,600 audio clips a day are being shared through the PlayHit app.",,,,,New
D-Empire Group,https://www.crunchbase.com/organization/d-empire-group,"Architecture, Artificial Intelligence, Blockchain, Brand Marketing, Cryptocurrency, Cyber Security, Graphic Design, Hospitality, Hotel, IT Infrastructure, Privacy, Product Design, Social Impact",,"First Resort in London, which will change the way hospitality works.","363,345",1/6/18,day,http://renatodimarzio.com,,"A small group of visionaries, working on outstanding projects which might change the world.  ",,,,,New
Lybero.net,https://www.crunchbase.com/organization/lybero-net,"Cyber Security, Information Technology, Security","Villers-lès-nancy, Lorraine, France",Lybero.net uses the latest advances in research to provide you with IT security solutions.,"366,258",1/1/16,year,http://lybero.net/,Contact@lybero.net,,,,,,New
Defenseroot Consulting,https://www.crunchbase.com/organization/defenseroot-consulting,"Cloud Security, Computer, Cyber Security, Information Services, Information Technology, Network Security, Physical Security","Goregaon, Maharashtra, India",Defenseroot consulting is a Cyber Security consulting company which uses a part of its revenue in educating the poor (in India).,"378,464",6/24/16,day,http://www.defenseroot.in,sales@defenseroot.in,"Defenseroot Consulting Pvt. Ltd. is a Cyber Security Consulting company with rich and qualitative experience in information security assessments across India and the Middle East. Our highly motivated and experienced advisors are currently trying to explore opportunities in technical security assessments and Strategic consulting. Our team has an in-depth understanding of the various domains within information security.  We aim to provide the most qualitative services to help organisations focus mainly on their business, and reduce their attack surface. Our advisors are keen on understanding your requirements and thinking out of the box to identify all the possible risks and take every necessary step to walk an extra mile to draft a value-added report. Our consultants have executed multiple International projects spanning across BFSI, IT / ITES, Insurance, Media, Business Process Outsourcing, Mutual Funds, and more. The insights and quality services we deliver to our prestigious clients help them build trust in us and strengthen our relationship. We believe that our employees are our foundation and we encourage them to continuously research  and experiment to keep ourselves updated about the latest security threats and vulnerabilities. This helps us  build a cutting edge over our competitors who follow traditional assessment approach. We specialize in serving you with : -- Application Security Assessments (OWASP, WASC, Business Logic) -- Network Security Assessments (OSTMM, Updated Daily with latest exploits) -- Mobile Security Assessments (Android, iOS, Windows, Blackberry platforms) -- Configuration Reviews (Firewall, router, switch, WLAN controllers) -- Network Architecture Review -- Server Hardening (All flavours of Linux & Windows) -- ANY network device audit (Web & Email gateway, security devices) -- VOIP testing, Wireless security assessment -- Security awareness / Training -- Gap Analysis (in line with ISO 27001, NESA, ADSIC) -- Risk Assessment (ISO 27005, NCRMF)",,,,,New
Momentum VR Ltd,https://www.crunchbase.com/organization/momentum-vr-ltd,"Cyber Security, Information Technology, Security, Software","Edinburgh, Edinburgh, City of, United Kingdom",Virtual Reality and IT Support,"379,518",1/1/17,day,https://www.momentumvr.co.uk,john@momentumvr.co.uk,"We are an IT support and service provider based in Edinburgh. We have been in IT providing consultancy for over 25 years. Covering desktop support, server support and data communications and security. We have opened up a future technology lab in the new town. Crammed with the latest cutting edge technology. Book your PC or Laptop in to be looked at and enjoy the latest hardware as you wait. Wireless HTC Vive, Oculus Rift and for a glimpse into the future you need to try the Microsoft Hololens. We are confident of diagnosing your issue and explaining clearly the best steps to resolve any issues within the first hour. We can also visit your home and extend wifi if you are having coverage issues. We have many years experience in Data Security too, so if you need a VPN or Firewall implementation, simply let us know and we will walk you through the process of getting the correct level of cover at the correct price point.",,,,,New
ShawSec,https://www.crunchbase.com/organization/shawsec,"Cloud Security, Cyber Security, Penetration Testing","Kano, Kano, Nigeria",Cyber Security & Penetration Testing,"380,121",10/12/17,day,http://shawsec.com,info@shawsec.com,"ShawSec is a cyber security company based in Nigeria, Providing a Penetration Testing and Security Consultancy to Private Companies and Government Agencies.",,,,,New
"RougeTek, Inc",https://www.crunchbase.com/organization/rougetek-inc,"Analytics, Cyber Security, Information Technology, Internet, Machine Learning, Software","San Diego, California, United States",Cybersecurity Corporation,"381,238",12/1/16,day,http://www.rougetek.com,info@rougetek.com,"Software as a service enterprise grade encryption platform. Agent based machine learning technology to predict and prevent malware and virus's. Providing multiple subscription based services for IOT, Corporate, Internet providers and consumer markets. Several patent pending products.",,,,,New
Digital Smart Solutions Limited,https://www.crunchbase.com/organization/digital-smart-solutions-limited,"Augmented Reality, Big Data, Content Creators, Cyber Security, Data Visualization, EdTech, Education, Higher Education, Information Services, Professional Services, Training, Virtual Reality",,"EdTech, Hyperconnected Student Learning Environment, HSLE, Micro-Accreditation, DLT, Blockchain, FinTech, Cyber Security, Smart Technologies","385,438",2/5/18,day,https://digitalsmart.solutions,hello@digitalsmart.solutions,"Digital Smart Solutions' 2018-2022 business model orchestrates a student-centric Hyperconnected Student Learning Environment (HSLE) in a growing $275Bn global market. This cost-effective online, accreditable solution to CPPD and degree pricing provides personalised student experiences within a secure micro-accrediting blockchain digital education platform, serviced by scalable cloud-based mobile /collaborative smart learning technologies to an anticipated global audience of 40,000 HSLE students per year, thereby generating an education service income of £75m per year, by 2022. ",,,,,New
Quadriga DLP,https://www.crunchbase.com/organization/quadriga-dlp,"Cyber Security, Information Technology","Newport Beach, California, United States",Quadriga DLP solutions are focused on eliminating the most advanced cyber attacks and threats: those coming from the inside.,"386,754",1/1/16,year,https://quadrigadlp.com/,,Quadriga DLP solutions are focused on eliminating the most advanced cyber attacks and threats: those coming from the inside.  QuadrigaDLP proactively secures sensitive data against cyber threats BEFORE attacks intensify and do severe damage.,,,,,New
Passlo,https://www.crunchbase.com/organization/passlo,"Cyber Security, Information Technology",,Perfecting Passwords,"386,785",5/1/18,month,https://www.passlo.com,hello@passlo.com,We help businesses defend against the number one cause of data breaches: lost or stolen passwords. ,,,,,New
Kryptoguia,https://www.crunchbase.com/organization/kryptoguia,"Bitcoin, Blockchain, Cryptocurrency, Cyber Security, FinTech, Information Technology",,"Kryptoguia es la fuente número uno de noticias y guías para bitcoin, altcoins, ICOs, blockchain, fintech, y securidad en internet","388,157",8/1/18,day,https://kryptoguia.com,editores@kryptoguia.com,"Kryptoguia es la fuente número uno de noticias y guías para bitcoin, altcoins, ICOs, blockchain, fintech, y securidad en internet",,,,,New
Intellispyre,https://www.crunchbase.com/organization/intellispyre,"Cyber Security, Machine Learning","Scottsdale, Arizona, United States","IntelliSpyre helps identify important cyber threats to client companies in very early stages, allowing for a pre-emptive response.","389,426",1/1/16,year,http://www.intellispyre.com/,info@intellispyre.com,"IntelliSpyre, Inc. specializes in identifying cyber-threats in the earliest stages.  We leverage both human analysts and advanced machine learning capabilities to search portions of the Internet where malicious hackers organize, plan, purchase malware, sell exploits, and conduct other activities prior to conducting a cyber-attack.  We routinely observe: - Zero-day exploits for sale - “Fully undetectable” malware platforms for sale or trade - Individuals working as freelance malicious hackers - Step-by-step instructions on how to exploit certain software – both for sale and for download - Discussion of malicious hackers on the latest illicit tradecraft How does IntelliSpyre process threat information?  A team of human analysts searches both the darknet (Tor, i2p) and open Internet for the latest sites where malicious hackers conduct illicit activity.  We then create custom parsers to obtain information automatically.  These sites are then re-engaged by our advanced technology and the latest threats are recorded in our database.  We then use advanced artificial intelligence and machine learning techniques to analyze this information and highlight what is most important for our clients.  Throughout the process, our analysts review information for both quality control and to conduct further human-based analysis.  In this way, we can highlight the most relevant threat warnings for each client.",,,,,New
Atomic Mole,https://www.crunchbase.com/organization/atomic-mole,"Computer, Cyber Security, Information Technology, Internet of Things, Security","Rockville, Maryland, United States",Atomic Mole (AM) is building a state-of-the-art Advanced Security Solution aimed at the medium Enterprise market.,"391,335",1/1/16,year,https://www.atomicmole.com,info@atomicmole.com,"Atomic Mole is designed to seamlessly scale from monitoring a single device to millions of devices autonomously, the Atomic Mole platform allows organizations, managed security providers, and cloud providers to affordably monitor both wired and wireless IoT infrastructures.",,,,,New
Drones Dash,https://www.crunchbase.com/organization/drones-dash,"Computer, Cyber Security, Drones, Health Care, Information Technology",,Drones Dash is delivering the future,"392,098",7/1/16,month,http://dronesdash.com,,"Drones-Dash is developing app-based drone technology that redefines delivery speed, efficiency and security by using our patent pending features: Modular payload system which allows for easy implementation of a variety of payloads.  Visual targeting technique for pinpointed drop zones.  Multiple authentication techniques for secure transactions of goods and materials.  Cell network for long range communication of telemetry data and control signals.  We have received the most attention from medical cannabis dispensaries so our current product has been focused to meet their needs. We will power our drones with hydrogen, turning our usual 20 minute flight time into 2 hours. Our drones will be available for lease with a monthly flat rate that is subject to change if mileage or weight quotas are surpassed. Clients will be required to make a deposit for each drone.",,,,,New
Ekkosec,https://www.crunchbase.com/organization/ekkosec,"Consulting, Cyber Security, Network Security, Professional Services","Tel Aviv-yafo, Tel Aviv, Israel","Ekkosec offers SOC consultancy, pro-active threat hunting, endpoint analysis, cyber security research and reverse engineering. ","392,340",1/1/17,year,http://www.ekkosec.com,info@ekkosec.com,"Ekkosec is a cyber security company that's shifting the focus from the product to the people who use it. Ekkosec offers SOC consultancy and cyber security training, as well as endpoint & network analysis and security research on demand (including malware analysis, software and hardware reverse engineering).",,,,,New
Top VPN Service,https://www.crunchbase.com/organization/top-vpn-service,"Cyber Security, Information Technology, Internet, Network Security",,Best VPN services for 2018 – Top VPN's Reviews and Ratings,"393,308",8/10/18,day,https://topvpnservice.com/,contact@topvpnservice.com,Not all VPNs are great. We have selected best VPN services. Our in detailed VPN reviews will help you find the best VPN for complete online privacy and security.,,,,,New
Rayden Holdings,https://www.crunchbase.com/organization/rayden-incorporated,"Construction, Cyber Security, Information Technology, Marketing, Network Security","Johannesburg, NA - South Africa, South Africa","Cloud Computing, Web Design, Web Hosting, SEO, IT Consulting/Solutions, Web Management and Optimization, Mobile and Web App Development","395,598",1/10/18,day,http://www.raydeninc.ga,raydenincorporated@outlook.com,"Rayden Holdings Limited is a registered South African company which provides services in the Construction, Marketing and Technological Solutions sector. With its diversified operations, it aims to serve the whole of South African and beyond through the provision of quality services. Rayden Holdings Limited’s vision is to become the leader of choice for solutions, marketing and construction regardless of the industry. We want to empower and unleash the potential of all our customers. Rayden Incorporated seeks to become a leader in the Marketing, Construction and the Technology industry by providing unique, tailor-made and enhanced services through building long term relationships with a wide range of clients. We provide value to all our customers. Rayden Incorporated’s vision is to become the leader of choice for solutions, marketing and construction regardless of the industry. We want to empower and unleash the potential of all our customers. Rayden Holdings Limited’s mission is to build long term relationships with our customers, to provide exceptional services that exceed expectations, by pursuing business through innovation, advanced technology and adding value. Rayden Holdings Limited believes in sustainable growth through innovation, creativity and competence. We also believe in treating our customers with respect. We value honesty, integrity and ethical business practices",,,,,New
"VendorTrust, Inc.",https://www.crunchbase.com/organization/vendortrust,"Cyber Security, Enterprise Software, Information Technology","Milwaukee, Wisconsin, United States",Developing a next-generation cyber security questionnaire platform to help organizations evaluate the security controls of their vendors.,"397,427",6/27/16,day,http://VendorTrust.io,info@vendortrust.io,,,,,,New
Wpsfinder,https://www.crunchbase.com/organization/wpsfinder,"Cyber Security, Information Technology, SEO",,You entered the MAC address WPS pin and MAC address of the device that owns the brand is based on producing a tool that lists information.,"399,715",1/1/16,year,https://wpsfinder.com,info@wpsfinder.com,,,,,,New
Magic Lasso Adblock,https://www.crunchbase.com/organization/magic-lasso-adblock,"Advertising Platforms, Apps, Consumer Applications, Cyber Security, Desktop Apps, iOS, macOS, Mobile Apps, Privacy, Security",,"A free, efficient and high performance ad blocker for the iPhone, iPad and Mac","400,779",8/31/17,day,https://www.magiclasso.co/,feedback@magiclasso.co,"Magic Lasso is a free, efficient and high performance ad blocker and content blocker for the iPhone, iPad and Mac with native Safari integration. With Magic Lasso, pages load over 20% faster, use 10% less bandwidth and improve your battery life. Experience a cleaner, faster web browsing experience – without ads, pop-ups or user tracking.",,,,,New
Bhujang,https://www.crunchbase.com/organization/bhujang,"Cyber Security, Information Technology","Gurgaon, Haryana, India","Bhujang is a cross-enterprise, collaborative cyber intelligence sharing platform for digital homeland security. ","401,722",1/1/16,year,https://bhujang.net/,info@bhujang.net,"Every venture thrives on a central, unchanging idea. In Bhujang's case, the intense discussions that took place at a national security caucus convened in September 2015 were the catalyst. A group of thinkers and doers had gathered behind the closed doors of the caucus to discuss some of the crucial issues plaguing the country -- cybersecurity was one of them. The seed was planted right then. In May 2016, after months of deliberations, the foundations of this unconventional venture were laid by the three mavericks. It was christened Bhujang, the Sanskrit word for serpent. In Indian mythology, this nimble but ferocious creature was often seen guarding access to treasures. Our logo is inspired by the mystical symbol of Ouroboros, the paradox of a snake eating its own tail, representing the infinite continuum of the threat intelligence cycle. Bhujang’s mission is to challenge and re-interpret the existing models of enterprise security. Our work begins at the point where the conventional models fail to defend the digital frontiers of a nation and protect its critical infrastructure. ",,,,,New
Firmando,https://www.crunchbase.com/organization/firmando,"Blockchain, Cloud Storage, Cryptocurrency, Cyber Security, Digital Signage, E-Signature, Information Technology, Software",,Firmando Documenti e firma online,"403,982",1/1/19,day,https://firmando.it,,Firmando.it allow to legally sign and certify documents on private and public blockchain.,,,,,New
Netscylla Cyber Security Ltd,https://www.crunchbase.com/organization/netscylla-cyber-security-ltd,"Consulting, Cyber Security, Information Technology, Network Security",,"IT cyber security consultancy, specialising in red teaming, penetration testing, incident response and cyber security consultancy","407,864",1/1/17,month,https://www.netscylla.com,,"IT cyber security consultancy: specialising in red teaming, penetration testing, blue teaming, incident response and cyber security consultancy",,,,,New
TapToLogin,https://www.crunchbase.com/organization/taptologin,"Cyber Security, Identity Management, Internet, Mobile, Software","São Paulo, Sao Paulo, Brazil",TapToLogin is an established platform offering digital authentication of internet users in integrated services.,"407,947",6/1/18,month,,,"TapToLogin is an established platform offering digital authentication of internet users in integrated services such as social networks, e-commerce, banks, and airlines. It provides its users with authenticity and security in the process through the use of an officially government-issued contactless document which is read by a mobile device or a PC with NFC reader.",,,,,In Contact
Fourth Force,https://www.crunchbase.com/organization/fourth-force,"Cyber Security, Financial Services, Information Technology",,Fourth Force - A background verification company runs a background check on all kinds of crimes through physical field verification,"409,957",7/27/16,day,http://www.fourthforce.in,fourthforce2016@gmail.com,"Fourth Force - A background verification company in India runs a background checks on all kinds of crimes (Insurance, Employment, Qualification, Identity, Bank Security, License, Distributors, Vendors, Suppliers) through physical field verification",,,,,New
Bonkers About Tech,https://www.crunchbase.com/organization/bonkers-about-tech,"Artificial Intelligence, Cyber Security, Information Technology, News, Security",,"Bonkers About Tech is a technology blog covering topics such as Gadgets, AI, Science, Cyber Security and anything that we think is awesome.","411,289",2/14/16,day,https://www.bonkersabouttech.com,eddie@bonkersabouttech.com,,,,,,New
HuntSource,https://www.crunchbase.com/organization/huntsource,"Cyber Security, Information Technology","Charlotte, North Carolina, United States",HuntSource is the premier workforce solution dedicated to the technology sector.,"411,435",1/1/17,year,https://huntsource.io/,info@huntsource.io,"HuntSource is the premier workforce solution dedicated to the technology sector. They arm businesses with the highest quality talent needed to effectively combat the various security risks that threaten them on a daily basis. They strive to be the preeminent and comprehensive Cyber Security & Risk Management Talent Workforce Solution firm, putting their people and their customers at the center of everything.",,,,,New
Turnaround Security,https://www.crunchbase.com/organization/turnaround-security,"Cyber Security, Electronics, Enterprise","Gaithersburg, Maryland, United States",Turnaround Security is a cyber security solutions company dedicated to turning around the security posture of organizations.,"411,922",1/1/16,year,http://turnaroundsecurity.com,info@turnaroundsecurity.com,"The mission of Turnaround Security is to tackle “hard problems” in the information security and privacy domains, innovate creative solutions, and bring them to market. AppSec DesignerTM is their flagship product. Their principals have experience as Chief Information Security Officer, Enterprise Security Architect, Security Engineer, DevOps Engineer, Process Consultant, Lead Product Demonstrator, Paralegal, Game Developer, Programmer, and Electronics Engineering. They have served major corporations and government agencies, including the United States Secret Service, Department of Homeland Security, The United States Mint, The World Bank Group, Barclays, IBM, General Dynamics C4 Systems, Lockheed Martin, The Vanguard Group of Investment Companies, Chrysler, Visa International, Verizon Communications, United Services Automobile Association (USAA), UnitedHealth Group, U.S. Department of Justice, Hostess Brands, Revlon, Neiman Marcus, and Bloomingdale’s. The concept that spawned the creation of Turnaround Security had its roots beginning in 2014, with their founder working as an Enterprise Security Architect on a large government project. Faced with development leads that created system security plans that were lacking in quality, the ideas leading to AppSec DesignerTM were born. Prototypes were built and presented to various Open Web Application Security Project (OWASP) chapter meetings, Shmoocon Epilogue, and the 2016 SABSA conference in Dublin, Ireland. A Provisional Patent application was filed in July 2017. In October 2017, they launched a Kickstarter fundraising campaign to raise $60,000 for product development.",,,,,New
Transform FinTech,https://www.crunchbase.com/organization/transform-fintech,"Banking, Cyber Security, Financial Services, FinTech, Mobile Payments","Orlando, Florida, United States",Financial Technology & Inclusion Advisory Firm,"414,686",1/1/18,day,http://www.transformfintech.com,rich.longo@transformfintech.com,,,,,,New
Adayptus Consulting,https://www.crunchbase.com/organization/adayptus-consulting,"Cloud Security, Cyber Security, Identity Management, Network Security","New Delhi, Delhi, India","Information Security, Penetration Testing, Web Application Security, Crypto Exchange Security, Source Code Review, Network VAPT","415,568",9/26/17,day,https://adayptus.com/,info@adayptus.com,"We offer the most complete end-to-end application security services that clearly differentiate us from other solutions in that we identify many more deeply-rooted vulnerabilities that go undetected by other approaches and could negatively impact the ""brand image""​ of your company in the marketplace. We offer following Cyber Security Services:- 1. Web Application Security Assessment 2. Vulnerability Assessment and Penetration Testing (VAPT) 3. Mobile Application Security Assessment 5. Source Code Review. 5. Cloud Infrastructure Security Assessment and Configuration Reviwe 6. Block Chain /Crypto Security Assessment 7. Discovery Audit For More Details Contact Us: info@adayptus.com",,,,,New
10Security,https://www.crunchbase.com/organization/10security,"Cyber Security, Information Technology, Robotics",,"cyber security, automation, application security, devops, vulnerability asssessments","421,112",3/1/17,month,https://10security.com/,,,,,,,New
Prevade Cybersecurity,https://www.crunchbase.com/organization/prevade-cybersecurity,Cyber Security,"Frisco, Texas, United States",Full Stack Cybersecurity Products and Services,"421,449",4/20/16,day,https://www.prevade.com,info@prevade.com,"Prevade Cybersecurity was founded in 2016 with a vision of providing full stack cybersecurity services and next-generation solutions. Our business-centric philosophy and cross-functional experience differentiates us from other cybersecurity companies. We help clients plan and execute their business strategy through pragmatic and cost effective cybersecurity risk management. We have worked with clients in a variety of public and private sector industries including education, food and beverage, healthcare, financial services, manufacturing, retail, and technology. ​ We focus on your business strategy by aligning business and cybersecurity risk appetites, enabling us to maximize your return on investment and strengthen your competitive advantage.",,,,,New
Blue Taurus Partnership LLC,https://www.crunchbase.com/organization/blue-taurus-partnership,"Business Intelligence, Cyber Security, Knowledge Management, Machine Learning, Management Consulting, Mobile, Network Security, Privacy, Professional Services, Risk Management","Nashville, Tennessee, United States",Building and Growing Companies and Their Technology. ​​The Most Dynamic Assets are Digital Footprints and Cyber Risk Management.,"422,946",7/1/17,day,http://www.bluetauruspartnership.com,tmalatesta@bluetauruspartnership.com,"We advise high potential growth companies, post seed funding, in related areas of gathering resources, talent and capital to sell and market the idea (technology, product, service) and manage growth in the digital age. The challenge is to take the best of the old and the well-established and combine it with the digital trends and technologies that you see today. ​ ​We monitor a global network of innovation centers that are incubating new ideas and technologies that will change the future and competition in the digital age. How do you run a business while establishing a foundation for the future? Digitization is the core driver of innovation and disruption in the marketplace today blurring boundaries between marketing, sales, customer service and IT.",,,,,New
SecurityChannelNews,https://www.crunchbase.com/organization/securitychannelnews,Cyber Security,,SecurityChannelNews focuses on worldwide technology news for the security channel,"423,180",1/1/18,month,http://securitychannelnews.com,info@techday.com,"SecurityChannelNews focuses on technology news on for the security channel, solving a problem for vendors with a global footprint. Our audience includes tech resellers, system integrators, selected retailers of security software and hardware products. With over 12 years of experience in the channel sector, SecurityChannelNews is a unique hybrid of Techday’s SecurityBrief and ChannelLife publications. We provide the latest global security channel trends, vendor and distributor news, exclusive interviews, analyst insights, expert opinions, reviews, and more.",,,,,New
Rose Hill Acquisition Company LTD,https://www.crunchbase.com/organization/rose-hill-acquisition-company-ltd,"Advertising, Cyber Security",,Aquires and operates Cyber security and ad measurement and fraud detection companies,"423,479",11/1/17,day,,david.scheckel@gmail.com,"Aquires and operates Cyber security and ad measurement and fraud detection companies The Company provides tools to prevent fraud along the entire life cycle of a web interaction, from the view of an ad through the checkout process. 1.	Digital Media Solutions are OXFORD BIO-CHRONOMETRICS products that quantify fraud, including its frequency. By identifying non-human (bots) digital advertising fraud - and gathering the data that unambiguously demonstrate it occurred - these tools and services empower advertisers to ensure publisher traffic integrity. And to pay only for traffic that matters. Having established a reliable human baseline, SecureAd Suite of products then applies measurement tools to show whether targets are being hit as intended, both in terms of geographical location and by the websites on which the ads were placed. This generates actionable data that allows advertisers to understand their traffic,  to improve their ROI and provide Brand Safety. 2.	Cyber Solutions are OXFORD BIO-CHRONOMETRICS’ products that prevent fraud from happening in the first place. These security and accessibility focused tools ensure human-only access, via continuous credential validation methodology that maintain secure sessions. Our entry level product, Secure Form, a passive form of CAPTCHA test is established and gaining traction, with thousands of websites globally using this product to prevent spam and invalid user activity.  In addition, we offer SecureLeads, which ensures a human is submitting a Lead or Contact form,and Secure Checkout, which prevents non human generated credit card inputs.  Coming soon is our Fake News product!",,,,,In Contact
OpSecX,https://www.crunchbase.com/organization/opsecx,"Cyber Security, Education, Information Technology, Security","Bangalore, Karnataka, India",OpSecX. is an OpenSecurity initiative to promote information security education.,"427,447",1/1/16,year,https://opsecx.com,cs@opsecx.com,,,,,,New
Blockhain Powered Solutions GmbH,https://www.crunchbase.com/organization/blockhain-powered-solutions-gmbh,"Banking, Blockchain, Compliance, Cryptocurrency, Cyber Security, Enterprise Software, Hardware, Information Technology, Insurance, Legal, Retail Technology, Software, Telecommunications",,"Blockchain Powered Solutions GmbH is creating solutions (legal, organizational and technically) that can be blockchain powered.","428,615",1/1/17,year,http://www.blockchainpoweredsolutions.net,info@blockchainpoweredsolutions.net,coming soon,,,,,New
Trustvectors,https://www.crunchbase.com/organization/trustvectors,"Cyber Security, Information Technology, Internet","Berkeley, California, United States",We make the Internet of Things Robustly Secure.,"430,710",6/1/16,day,https://www.trustvectors.com,info@trustvectors.com,"We make the Internet of Things Robustly Secure.  Our mission is to bring to all users Affordable and Reliable Products leveraging Software Development Practices from Telecommunications, Finance and Aerospace Industries to fully realize the Internet of Things promise of operational efficiency without compromising security.",,,,,New
Code Grazer Ltd,https://www.crunchbase.com/organization/code-grazer-ltd,"Cyber Security, Network Security, Penetration Testing",,"CodeGrazer is the newly formed pentest firm based in Leeds, UK, offering security services.","431,570",3/5/18,day,http://www.codegrazer.com,info@codegrazer.com,"CodeGrazer, founded in 2018, is a penetration testing Ltd. company based in Leeds, UK. CodeGrazer offers information security services to protect the IT assets of private companies aiding in reaching the highest standards of security in the Infosec Industry. With CodeGrazer there is a guarantee for quick scoping turnaround, high quality testing and detailed, comprehensive reporting adhering to the highest standards in the industry. Prior to vulnerability investigations, we are happy to offer our consultation services, evaluate your company’s requirements and advise in a professional way on what course of action to take to make the best of what we can offer. During our activity we offer full support to the IT department to fully understand discovered vulnerabilities and how to fix them elaborating on how to best guard the system depending on the particular scenario in discussion. Furthermore, web application retests are on us!",,,,,New
iXplore,https://www.crunchbase.com/organization/ixplore,"Blockchain, Cloud Data Services, Cloud Security, Cyber Security, Education, Information Technology, Internet, Network Security, Security",,eXplore safer technology,"438,125",6/9/18,day,https://iXplore.ir,,iXplore is a new startup which XPLORE SAFER TECHNOLOGY. We Xplore infinity. Registration Number: 1K8E9hx0CzpsQQi4,,,,,New
EASTER SCIENCE,https://www.crunchbase.com/organization/easter-science,"Computer, Cyber Security, Information Services, Information Technology, News","India, Pennsylvania, United States",Latest Tech and Gadgets Genuine News,"445,802",2/4/17,day,https://www.easterscience.com,contact@easterscience.com,We assist you to choose the best. We want to share every person's product and idea globally. Every person has a unique value.,,,,,New
